word,pronunciation,meaning,description,example
journey,/ˈdʒɜːrni/,"chuyến đi, hành trình",A journey is a trip from one place to another.,The journey took three hours.
brave,/breɪv/,"can đảm, dũng cảm",A brave person is not afraid to face danger.,The brave student spoke in front of the class.
improve,/ɪmˈpruːv/,cải thiện,To improve means to make something better.,She practices every day to improve her English.
habit,/ˈhæbɪt/,thói quen,A habit is something you do often or regularly.,Reading before bed is a good habit.
focus,/ˈfoʊkəs/,tập trung,To focus means to give attention to one thing.,Please focus on the lesson.
confident,/ˈkɑːnfɪdənt/,tự tin,A confident person believes they can do something well.,He felt confident before the speaking test.
review,/rɪˈvjuː/,"ôn tập, xem lại",To review means to study something again.,I review new words every evening.
goal,/ɡoʊl/,mục tiêu,A goal is something you want to achieve.,My goal is to learn ten new words a day.
simple,/ˈsɪmpəl/,đơn giản,Something simple is easy to understand or do.,This app uses a simple learning flow.
remember,/rɪˈmembər/,"ghi nhớ, nhớ",To remember means to keep something in your mind.,Flashcards help me remember vocabulary.
